full time series of predicted survey index
survey year spp area pred_survey
2 40 6 1 5291.02
2 40 7 1 8344.23
2 40 8 1 1254.05
2 40 9 1 19552.8
2 40 10 1 935.099
2 41 1 1 9682.05
2 41 2 1 938.616
2 41 3 1 4103.35
2 41 4 1 559.944
2 41 5 1 224385
2 41 6 1 5844
2 41 7 1 8155.54
2 41 8 1 1195.52
2 41 9 1 18949.7
2 41 10 1 1005.53
2 42 1 1 14427.7
2 42 2 1 830.721
2 42 3 1 4089.13
2 42 4 1 619.097
2 42 5 1 242267
2 42 6 1 8355.22
2 42 7 1 7981.52
2 42 8 1 1147.78
2 42 9 1 18992.6
2 42 10 1 1190.82
full time series of predicted catch
fleet year spp area pred_catch
1 1 1 1 17375.6
1 1 2 1 2.60981e-10
1 1 3 1 1.56812e-09
1 1 4 1 1.12243e-11
1 1 5 1 1.58347e-08
1 1 6 1 6.27105e-08
1 1 7 1 1.98808e-07
1 1 8 1 1.60151e-12
1 1 9 1 3.78603e-11
1 1 10 1 5.41402e-13
1 2 1 1 18645
1 2 2 1 1.03677e-09
1 2 3 1 1.18032e-09
1 2 4 1 1.08043e-11
1 2 5 1 1.66499e-08
1 2 6 1 4.30246e-08
1 2 7 1 1.54425e-07
1 2 8 1 2.95877e-12
1 2 9 1 3.52365e-11
1 2 10 1 3.82974e-13
1 3 1 1 25184
1 3 2 1 1.51519e-09
1 3 3 1 1.39384e-09
1 3 4 1 1.49823e-11
1 3 5 1 2.59247e-08
1 3 6 1 4.93853e-08
1 3 7 1 1.86166e-07
1 3 8 1 5.31329e-12
1 3 9 1 4.826e-11
1 3 10 1 4.73039e-13
1 4 1 1 20605.4
1 4 2 1 1.21501e-09
1 4 3 1 1.1002e-09
1 4 4 1 1.34446e-11
1 4 5 1 2.60365e-08
1 4 6 1 3.86757e-08
1 4 7 1 1.50855e-07
1 4 8 1 5.03659e-12
1 4 9 1 4.27551e-11
1 4 10 1 3.32923e-13
1 5 1 1 31951.1
1 5 2 1 1.87355e-09
1 5 3 1 1.73249e-09
1 5 4 1 2.36209e-11
1 5 5 1 5.04734e-08
1 5 6 1 6.19908e-08
1 5 7 1 2.45104e-07
1 5 8 1 8.70087e-12
1 5 9 1 7.48619e-11
1 5 10 1 5.35374e-13
1 6 1 1 24476.3
1 6 2 1 1.28891e-09
1 6 3 1 1.23235e-09
1 6 4 1 1.85376e-11
1 6 5 1 4.2718e-08
1 6 6 1 4.53349e-08
1 6 7 1 1.79949e-07
1 6 8 1 6.77921e-12
1 6 9 1 5.88599e-11
1 6 10 1 4.38655e-13
1 7 1 1 16850.2
1 7 2 1 7.65983e-10
1 7 3 1 7.46594e-10
1 7 4 1 1.2227e-11
1 7 5 1 2.97263e-08
1 7 6 1 2.76865e-08
1 7 7 1 1.11706e-07
1 7 8 1 4.44946e-12
1 7 9 1 3.92989e-11
1 7 10 1 2.42675e-13
1 8 1 1 26077.2
1 8 2 1 1.17926e-09
1 8 3 1 1.0972e-09
1 8 4 1 1.89787e-11
1 8 5 1 4.8756e-08
1 8 6 1 4.01767e-08
1 8 7 1 1.65837e-07
1 8 8 1 6.84837e-12
1 8 9 1 6.21791e-11
1 8 10 1 4.86615e-13
1 9 1 1 18454.1
1 9 2 1 1.03448e-09
1 9 3 1 7.95868e-10
1 9 4 1 1.40918e-11
1 9 5 1 3.81887e-08
1 9 6 1 2.88907e-08
1 9 7 1 1.19412e-07
1 9 8 1 5.09516e-12
1 9 9 1 4.69939e-11
1 9 10 1 3.38294e-13
1 10 1 1 21092.4
1 10 2 1 1.90989e-09
1 10 3 1 9.67243e-10
1 10 4 1 1.68669e-11
1 10 5 1 4.90271e-08
1 10 6 1 3.55528e-08
1 10 7 1 1.39909e-07
1 10 8 1 6.06775e-12
1 10 9 1 5.72737e-11
1 10 10 1 2.90011e-13
1 11 1 1 26245.8
1 11 2 1 5.50742e-09
1 11 3 1 1.3496e-09
1 11 4 1 2.20471e-11
1 11 5 1 6.9274e-08
1 11 6 1 4.82125e-08
1 11 7 1 1.98047e-07
1 11 8 1 7.88398e-12
1 11 9 1 7.6505e-11
1 11 10 1 3.13397e-13
1 12 1 1 21946.3
1 12 2 1 9.98835e-09
1 12 3 1 1.31241e-09
1 12 4 1 1.89524e-11
1 12 5 1 6.61822e-08
1 12 6 1 4.32494e-08
1 12 7 1 2.02697e-07
1 12 8 1 7.04665e-12
1 12 9 1 7.00425e-11
1 12 10 1 2.15883e-13
1 13 1 1 29342.1
1 13 2 1 1.94402e-08
1 13 3 1 2.05226e-09
1 13 4 1 2.50827e-11
1 13 5 1 9.97468e-08
1 13 6 1 6.00678e-08
1 13 7 1 3.30669e-07
1 13 8 1 9.8953e-12
1 13 9 1 1.00274e-10
1 13 10 1 3.02304e-13
1 14 1 1 26031.2
1 14 2 1 2.75684e-08
1 14 3 1 2.48014e-09
1 14 4 1 2.56602e-11
1 14 5 1 1.13981e-07
1 14 6 1 6.53992e-08
1 14 7 1 4.05039e-07
1 14 8 1 1.0337e-11
1 14 9 1 1.06094e-10
1 14 10 1 5.34871e-13
1 15 1 1 19731.9
1 15 2 1 3.12331e-08
1 15 3 1 2.89687e-09
1 15 4 1 2.44523e-11
1 15 5 1 1.19793e-07
1 15 6 1 6.57846e-08
1 15 7 1 4.48738e-07
1 15 8 1 9.92766e-12
1 15 9 1 1.0381e-10
1 15 10 1 7.38045e-13
1 16 1 1 15475.5
1 16 2 1 3.62929e-08
1 16 3 1 4.29817e-09
1 16 4 1 2.51818e-11
1 16 5 1 1.39571e-07
1 16 6 1 8.45039e-08
1 16 7 1 5.40162e-07
1 16 8 1 1.0234e-11
1 16 9 1 1.13619e-10
1 16 10 1 7.73696e-13
1 17 1 1 9755.79
1 17 2 1 3.55397e-08
1 17 3 1 5.19197e-09
1 17 4 1 2.1374e-11
1 17 5 1 1.32789e-07
1 17 6 1 8.41906e-08
1 17 7 1 5.19839e-07
1 17 8 1 8.6829e-12
1 17 9 1 1.02591e-10
1 17 10 1 4.83802e-13
1 18 1 1 4642.57
1 18 2 1 2.14803e-08
1 18 3 1 3.6665e-09
1 18 4 1 1.17218e-11
1 18 5 1 7.96841e-08
1 18 6 1 4.90208e-08
1 18 7 1 3.07387e-07
1 18 8 1 4.84596e-12
1 18 9 1 5.94996e-11
1 18 10 1 2.41534e-13
1 19 1 1 5788.88
1 19 2 1 2.47712e-08
1 19 3 1 4.87267e-09
1 19 4 1 1.28211e-11
1 19 5 1 9.54875e-08
1 19 6 1 5.47107e-08
1 19 7 1 3.58342e-07
1 19 8 1 6.086e-12
1 19 9 1 6.99242e-11
1 19 10 1 5.38214e-13
